01.04.2016,10:56:43,OL,143.0,OL,OL
01.04.2016,10:56:45,OL,141.1,OL,OL
01.04.2016,10:56:47,OL,138.9,OL,OL
01.04.2016,10:56:49,OL,136.0,OL,OL
01.04.2016,10:56:51,OL,133.8,OL,OL
01.04.2016,10:56:53,OL,132.3,OL,OL
01.04.2016,10:56:55,OL,130.4,OL,OL
01.04.2016,10:56:57,OL,129.0,OL,OL
01.04.2016,10:56:59,OL,128.1,OL,OL
01.04.2016,10:57:01,OL,127.8,OL,OL
01.04.2016,10:57:03,OL,128.4,OL,OL
01.04.2016,10:57:05,OL,130.0,OL,OL
01.04.2016,10:57:07,OL,133.2,OL,OL
01.04.2016,10:57:09,OL,136.3,OL,OL
01.04.2016,10:57:11,OL,140.6,OL,OL
01.04.2016,10:57:13,OL,146.3,OL,OL
01.04.2016,10:57:15,OL,153.0,OL,OL
01.04.2016,10:57:17,OL,160.5,OL,OL
01.04.2016,10:57:19,OL,167.4,OL,OL
01.04.2016,10:57:21,OL,173.4,OL,OL
01.04.2016,10:57:23,OL,178.5,OL,OL
01.04.2016,10:57:25,OL,182.5,OL,OL
01.04.2016,10:57:27,OL,185.8,OL,OL
01.04.2016,10:57:29,OL,188.8,OL,OL
01.04.2016,10:57:31,OL,191.2,OL,OL
01.04.2016,10:57:33,OL,193.2,OL,OL
01.04.2016,10:57:35,OL,194.6,OL,OL
01.04.2016,10:57:37,OL,196.1,OL,OL
01.04.2016,10:57:39,OL,196.9,OL,OL
01.04.2016,10:57:41,OL,197.4,OL,OL
01.04.2016,10:57:43,OL,197.4,OL,OL
01.04.2016,10:57:45,OL,198.3,OL,OL
01.04.2016,10:57:47,OL,197.6,OL,OL
01.04.2016,10:57:49,OL,197.5,OL,OL
01.04.2016,10:57:51,OL,196.9,OL,OL
01.04.2016,10:57:53,OL,196.8,OL,OL
01.04.2016,10:57:55,OL,196.3,OL,OL
01.04.2016,10:57:57,OL,195.4,OL,OL
01.04.2016,10:57:59,OL,194.5,OL,OL
01.04.2016,10:58:01,OL,194.2,OL,OL
01.04.2016,10:58:03,OL,192.8,OL,OL
01.04.2016,10:58:05,OL,192.5,OL,OL
01.04.2016,10:58:07,OL,191.4,OL,OL
01.04.2016,10:58:09,OL,190.4,OL,OL
01.04.2016,10:58:11,OL,190.2,OL,OL
01.04.2016,10:58:13,OL,189.2,OL,OL
01.04.2016,10:58:15,OL,188.7,OL,OL
01.04.2016,10:58:17,OL,187.8,OL,OL
01.04.2016,10:58:19,OL,187.6,OL,OL
01.04.2016,10:58:21,OL,186.5,OL,OL
01.04.2016,10:58:23,OL,186.4,OL,OL
01.04.2016,10:58:25,OL,185.4,OL,OL
01.04.2016,10:58:27,OL,184.6,OL,OL
01.04.2016,10:58:29,OL,184.4,OL,OL
01.04.2016,10:58:31,OL,184.0,OL,OL
01.04.2016,10:58:33,OL,184.0,OL,OL
01.04.2016,10:58:35,OL,183.2,OL,OL
01.04.2016,10:58:37,OL,183.0,OL,OL
01.04.2016,10:58:39,OL,182.4,OL,OL
01.04.2016,10:58:41,OL,182.2,OL,OL
01.04.2016,10:58:43,OL,181.9,OL,OL
01.04.2016,10:58:45,OL,181.6,OL,OL
01.04.2016,10:58:47,OL,181.5,OL,OL
01.04.2016,10:58:49,OL,181.1,OL,OL
01.04.2016,10:58:51,OL,180.1,OL,OL
01.04.2016,10:58:53,OL,180.1,OL,OL
01.04.2016,10:58:55,OL,179.6,OL,OL
01.04.2016,10:58:57,OL,179.2,OL,OL
01.04.2016,10:58:59,OL,178.7,OL,OL
01.04.2016,10:59:01,OL,178.5,OL,OL
01.04.2016,10:59:03,OL,177.6,OL,OL
01.04.2016,10:59:05,OL,177.3,OL,OL
01.04.2016,10:59:07,OL,176.7,OL,OL
01.04.2016,10:59:09,OL,176.1,OL,OL
01.04.2016,10:59:11,OL,175.6,OL,OL
01.04.2016,10:59:13,OL,175.3,OL,OL
01.04.2016,10:59:15,OL,174.9,OL,OL
01.04.2016,10:59:17,OL,174.9,OL,OL
01.04.2016,10:59:19,OL,174.3,OL,OL
01.04.2016,10:59:21,OL,173.8,OL,OL
01.04.2016,10:59:23,OL,173.5,OL,OL
01.04.2016,10:59:25,OL,173.1,OL,OL
01.04.2016,10:59:27,OL,172.6,OL,OL
01.04.2016,10:59:29,OL,172.6,OL,OL
01.04.2016,10:59:31,OL,171.7,OL,OL
01.04.2016,10:59:33,OL,171.0,OL,OL
01.04.2016,10:59:35,OL,171.3,OL,OL
01.04.2016,10:59:37,OL,171.1,OL,OL
01.04.2016,10:59:39,OL,170.7,OL,OL
01.04.2016,10:59:41,OL,170.4,OL,OL
01.04.2016,10:59:43,OL,169.9,OL,OL
01.04.2016,10:59:45,OL,169.6,OL,OL
01.04.2016,10:59:47,OL,169.4,OL,OL
01.04.2016,10:59:49,OL,169.1,OL,OL
01.04.2016,10:59:51,OL,169.1,OL,OL
01.04.2016,10:59:53,OL,169.7,OL,OL
01.04.2016,10:59:55,OL,169.0,OL,OL
